Membership No  Date Joined  Active  
    68982      2020-3-15    yes   
    86730      2019-5-13    yes   
    80220      2016-8-11    no    
    19846      2016-2-1     no    
    42831      2020-9-17    no    
    38827      2015-10-15   yes   
    20063      2018-7-3     yes   
    11686      2020-4-8     no    
    16233      2019-7-10    no    
    79308      2018-9-8     no    
    38039      2018-10-23   yes   
    81187      2020-11-2    yes   
    93910      2016-6-2     no    
    47649      2015-5-19    yes   
    53870      2019-12-7    yes   
    22288      2020-6-5     no    
    64767      2018-7-16    yes   
    33330      2015-3-15    yes   
    59850      2017-6-20    no    
    69211      2019-5-3     yes   
